evento_id,viaje_id,carro_modelo,autonomia_km,origen_nombre,destino_nombre,evento_nodo,evento_lat,evento_lon,bateria_pct,km_restantes,electro_id,electro_nombre,electro_nodo,electro_lat,electro_lon,dist_electro_km
1,17,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UIS Parque Tecnológico Guatiguará,1197338182,6.997524,-73.086822,19.94,37.8847,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,5.0408
2,32,BYD DOLPHIN SURF 30 kWh Active,190.0,UNAB,UIS Parque Tecnológico Guatiguará,599017167,7.03965,-73.090051,19.4,36.8643,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
3,40,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,UIS Campus Florida,839089383,7.114993,-73.107381,20.0,90.9908,1,Centro Comercial Quinta Etapa,2746158992,7.115473864260488,-73.10771498564486,0.0751
4,56,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UIS Campus Florida,1110493817,7.055364,-73.090779,18.66,35.4571,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,4.6629
5,76,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),Sede Recreacional Catay,599017167,7.03965,-73.090051,18.86,35.8308,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
6,87,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Bucarica (Centro),UIS Campus Florida,602410037,7.112755,-73.114119,19.99,90.9342,0,Homecenter,607665686,7.115794947043329,-73.12049190407198,1.0141
7,96,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,UIS Parque Tecnológico Guatiguará,1197395963,7.006195,-73.098684,19.83,37.6815,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,8.8647
8,107,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,UTS (Unidades Tecnológicas de Santander),839102440,7.093447,-73.109896,19.98,37.9593,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.9949
9,127,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,PTAR Río Frío,1110626525,7.064138,-73.101337,19.96,37.9243,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.2708
10,142,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,839097767,7.0825,-73.101819,19.99,37972,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.7102
