vehiculo,gama,lat_actual,lon_actual,electrolinera,lat_electrolinera,lon_electrolinera,distancia_metros,bateria_al_recargar,nodos_recorridos
BYD SEAL 82.5 kWh RWD Design,alta,7.0931172,-73.1101618,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2603.24,0.2,2597
BYD SEAL 82.5 kWh RWD Design,alta,7.0898942,-73.1086282,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,2227.44,0.1999,5395
BYD SEAL 82.5 kWh RWD Design,alta,6.9754697,-73.0425116,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4856.83,0.1997,8053
BYD SEAL 82.5 kWh RWD Design,alta,6.9937533,-73.0675392,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2360.99,0.1995,10634
BYD SEAL 82.5 kWh RWD Design,alta,7.0726814,-73.1069306,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,500.56,0.1998,13500
BYD SEAL 82.5 kWh RWD Design,alta,7.0018139,-73.0576386,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,923.65,0.1998,16492
BYD SEAL 82.5 kWh RWD Design,alta,7.0717599,-73.1059329,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,650.96,0.2,19313
BYD SEAL 82.5 kWh RWD Design,alta,7.0196158,-73.0593776,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2584.91,0.1997,21939
BYD SEAL 82.5 kWh RWD Design,alta,7.0547828,-73.0821469,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,3767.8,0.1998,24636
BYD SEAL 82.5 kWh RWD Design,alta,7.037077,-73.0720523,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6008.06,0.1997,27469
BYD SEAL 82.5 kWh RWD Design,alta,7.0155251,-73.0569121,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2111.79,0.2,30138
